image,kind,image_label,image_score_p995,tp,fp,fn,tn,dice,iou,precision,recall
test/color/000.png,color,1,0.1402525007724762,5,1089,240,48842,0.0074682598954443615,0.0037481259370314842,0.004570383912248629,0.02040816326530612
test/color/001.png,color,1,0.14151698350906372,16,1127,83,48950,0.02576489533011272,0.013050570962479609,0.01399825021872266,0.16161616161616163
test/color/002.png,color,1,0.1398889273405075,24,1075,255,48822,0.03483309143686502,0.01772525849335303,0.02183803457688808,0.08602150537634409
test/color/003.png,color,1,0.13551366329193115,28,890,224,49034,0.04786324786324787,0.024518388791593695,0.030501089324618737,0.1111111111111111
test/color/004.png,color,1,0.12392332404851913,17,595,335,49229,0.035269709543568464,0.01795142555438226,0.027777777777777776,0.048295454545454544
test/color/005.png,color,1,0.1262609213590622,35,645,63,49433,0.08997429305912596,0.047106325706594884,0.051470588235294115,0.35714285714285715
test/color/006.png,color,1,0.12482897937297821,18,631,28,49499,0.051798561151079135,0.026587887740029542,0.02773497688751926,0.391304347826087
test/color/007.png,color,1,0.12493777275085449,11,690,106,49369,0.02689486552567237,0.013630731102850062,0.015691868758915834,0.09401709401709402
test/color/008.png,color,1,0.09362205117940903,19,181,627,49349,0.04491725768321513,0.022974607013301087,0.095,0.029411764705882353
test/color/009.png,color,1,0.09530197829008102,4,215,231,49726,0.01762114537444934,0.008888888888888889,0.0182648401826484,0.01702127659574468
test/color/010.png,color,1,0.09400226175785065,19,197,59,49901,0.1292517006802721,0.06909090909090909,0.08796296296296297,0.24358974358974358
test/color/011.png,color,1,0.09418367594480515,14,195,111,49856,0.08383233532934131,0.04375,0.06698564593301436,0.112
test/color/012.png,color,1,0.10192712396383286,0,313,114,49749,0.0,0.0,0.0,0.0
test/color/013.png,color,1,0.10129524767398834,8,288,181,49699,0.032989690721649485,0.016771488469601678,0.02702702702702703,0.042328042328042326
test/color/014.png,color,1,0.0994194969534874,6,269,96,49805,0.03183023872679045,0.016172506738544475,0.02181818181818182,0.058823529411764705
test/color/015.png,color,1,0.10760042816400528,66,307,328,49475,0.17209908735332463,0.09415121255349501,0.1769436997319035,0.16751269035532995
test/color/016.png,color,1,0.11255374550819397,4,434,74,49664,0.015503875968992248,0.0078125,0.0091324200913242,0.05128205128205128
test/color/017.png,color,1,0.11775239557027817,70,423,411,49272,0.1437371663244353,0.07743362831858407,0.14198782961460446,0.14553014553014554
test/color/018.png,color,1,0.10831060260534286,19,379,45,49733,0.08225108225108226,0.04288939051918736,0.04773869346733668,0.296875
test/cut/000.png,cut,1,0.12370835244655609,16,664,48,49448,0.043010752688172046,0.02197802197802198,0.023529411764705882,0.25
test/cut/001.png,cut,1,0.11889123171567917,10,584,202,49380,0.02481389578163772,0.01256281407035176,0.016835016835016835,0.04716981132075472
test/cut/002.png,cut,1,0.11877148598432541,2,575,49,49550,0.006369426751592357,0.003194888178913738,0.0034662045060658577,0.0392156862745098
test/cut/003.png,cut,1,0.14363592863082886,187,712,428,48849,0.24702774108322326,0.14091936699321778,0.20800889877641823,0.3040650406504065
test/cut/004.png,cut,1,0.12115040421485901,14,596,380,49186,0.027888446215139442,0.014141414141414142,0.022950819672131147,0.03553299492385787
test/cut/005.png,cut,1,0.10732889175415039,4,370,119,49683,0.01609657947686117,0.008113590263691683,0.0106951871657754,0.032520325203252036
test/cut/006.png,cut,1,0.10898400843143463,6,431,224,49515,0.017991004497751123,0.009077155824508321,0.013729977116704805,0.02608695652173913
test/cut/007.png,cut,1,0.11728508025407791,33,462,160,49521,0.09593023255813954,0.050381679389312976,0.06666666666666667,0.17098445595854922
test/cut/008.png,cut,1,0.11076255887746811,8,396,171,49601,0.0274442538593482,0.01391304347826087,0.019801980198019802,0.0446927374301676
